iteration,level,avg_fitness,max_fitness,bonus,num_meta_prompts,perfect_scores
0,1,1.1905923480959473,1.3197505902753905,0.31975059027539054,4,8
0,2,1.3739746013088867,1.5372738520804687,0.3372738520804687,4,7
0,3,1.0420196484375,1.63233796875,0.13233796875,4,2
0,4,1.627354828125,2.0400305625,0.24003056250000002,4,3
0,5,2.21091890625,2.292438125,0.352438125,4,4
1,1,1.4372243235334667,1.5,0.5,4,16
1,2,1.6663608769234597,1.7,0.5,4,15
1,3,0.8614345123688965,1.6969710703125,0.16887807140917965,4,3
1,4,2.1981416426386717,2.3,0.5,4,7
1,5,2.4374540546875,2.5,0.5,4,8
2,1,1.5,1.5,0.5,4,24
2,2,1.669875,1.7,0.5,4,22
2,3,0.8622820521026684,1.7160418364744454,0.20523974465072314,4,4
2,4,2.3,2.3,0.5,4,11
2,5,2.38875,2.41,0.5,4,11
3,1,1.5,1.5,0.5,4,32
3,2,1.7,1.7,0.5,4,30
3,3,0.8605232769504491,1.6709190547664179,0.23841905476641803,4,5
3,4,2.3,2.3,0.5,4,15
3,5,2.455,2.5,0.5,4,15
4,1,1.5,1.5,0.5,4,40
4,2,1.7,1.7,0.5,4,38
4,3,0.8897574115653717,1.7654438102263397,0.2654438102263398,4,6
4,4,2.3,2.3,0.5,4,19
4,5,2.07625,2.5,0.475,4,18
5,1,1.5,1.5,0.5,4,48
5,2,1.669875,1.7,0.5,4,45
5,3,1.3096978203600675,1.863138011792808,0.34498111120316766,4,8
5,4,2.2864999999999998,2.3,0.5,4,23
5,5,2.43375,2.5,0.5,4,21
6,1,1.49625,1.5,0.5,4,56
6,2,1.6955,1.7,0.5,4,53
6,3,1.2047793863275376,1.8989820556430093,0.3962233779590787,5,10
6,4,2.3,2.3,0.5,5,28
6,5,2.485,2.5,0.5,6,27
7,1,1.47421875,1.5,0.5,4,63
7,2,1.7,1.7,0.5,4,61
7,3,0.7366064681894465,0.7727264177437817,0.30659009685659266,5,10
7,4,2.2891999999999997,2.3,0.5,5,33
7,5,2.44,2.5,0.5,6,33
8,1,1.47796875,1.5,0.5,4,70
8,2,1.7,1.7,0.5,4,69
8,3,0.9610272250866938,1.862510592013763,0.29526714288641004,5,11
8,4,2.2784,2.3,0.5,5,38
8,5,2.455,2.5,0.5,6,39
9,1,1.49625,1.5,0.5,4,78
9,2,1.7,1.7,0.5,4,77
9,3,0.8741087137531054,1.7442469333006239,0.2961595866355927,5,12
9,4,2.3,2.3,0.5,5,43
9,5,2.44,2.5,0.5,6,45
10,1,1.5,1.5,0.5,4,86
10,2,1.7,1.7,0.5,4,85
10,3,1.1628483201610469,1.8735618030621066,0.3548837129090014,5,14
10,4,2.1437999999999997,2.3,0.5,5,47
10,5,2.485,2.5,0.5,6,51
11,1,1.4975,1.5,0.5,6,98
11,2,1.6829166666666666,1.7,0.5,6,96
11,3,1.4521945289099043,1.9996015180474576,0.4996015180474576,7,18
11,4,2.3,2.3,0.5,5,52
11,5,2.474285714285714,2.5,0.5,7,58
12,1,1.5,1.5,0.5,6,110
12,2,1.7,1.7,0.5,6,108
12,3,0.9613945359124858,1.9201403732375943,0.4201403732375943,7,19
12,4,2.3,2.3,0.5,5,57
12,5,2.4614285714285713,2.5,0.5,7,65
13,1,1.4853125,1.5,0.5,6,121
13,2,1.7,1.7,0.5,6,120
13,3,1.306518541753721,1.9847124894335917,0.48471248943359163,7,22
13,4,2.3,2.3,0.5,5,62
13,5,2.474285714285714,2.5,0.5,7,72
14,1,1.4369791666666667,1.5,0.5,6,132
14,2,1.6925,1.7,0.5,6,132
14,3,1.4952377664231302,2.0,0.5,7,26
14,4,2.2891999999999997,2.3,0.5,5,67
14,5,2.435714285714286,2.5,0.5,7,79
15,1,1.5,1.5,0.5,6,144
15,2,1.6658333333333333,1.7,0.5,6,142
15,3,1.4973125,2.0,0.5,7,30
15,4,2.3,2.3,0.5,5,72
15,5,2.448571428571429,2.5,0.5,7,86
16,1,1.4853125,1.5,0.5,6,155
16,2,1.69325,1.7,0.5,8,158
16,3,1.4820697916666665,2.0,0.5,9,35
16,4,2.3,2.3,0.5,6,78
16,5,2.474285714285714,2.5,0.5,7,93
17,1,1.5,1.5,0.5,6,167
17,2,1.6425625,1.7,0.5,8,173
17,3,1.239589507424045,2.0,0.5,9,38
17,4,2.291,2.3,0.5,6,84
17,5,2.4614285714285713,2.5,0.5,7,100
18,1,1.5,1.5,0.5,6,179
18,2,1.6425625,1.7,0.475,8,188
18,3,1.4722590104166666,2.0,0.5,9,43
18,4,2.3,2.3,0.5,6,90
18,5,2.4235714285714285,2.5,0.5,7,106
19,1,1.5,1.5,0.5,6,191
19,2,1.6977499999999999,1.7,0.5,8,204
19,3,1.362625347222222,2.0,0.5,9,47
19,4,2.169833333333333,2.3,0.5,6,95
19,5,2.435714285714286,2.5,0.5,7,113
